item_id,split,condition,subject,reason,corpus_label,votes,allowed_types,context,question,answer,your_decision,adjudicator_notes
dev_0145,dev,has_context,reading_comprehension,"human says correct, corpus says wrong",wrong,annotator=correct/none,contradiction | entity | numeric | relational,"এস্টার বানফি (জন্ম ১৯৫৭) একজন হাঙ্গেরীয় প্রাগৈতিহাসিকবিদ, প্রত্নতাত্ত্বিক এবং শিক্ষাবিদ। ২০১৩ সাল থেকে তিনি জার্মান প্রত্নতাত্ত্বিক ইনস্টিটিউটে রোমানো-জার্মানিক কমিশনের পরিচালক হিসেবে দায়িত্ব পালন করছেন। তিনি হাঙ্গেরীয় একাডেমি অফ সায়েন্সেস-এর প্রত্নতাত্ত্বিক ইনস্টিটিউটের একজন অধ্যাপক।",এস্টার বানফি কবে জন্মগ্রহণ করেন?,১৯৫৭,,
dev_0151,dev,has_context,history,"human says correct, corpus says wrong",wrong,annotator=correct/none,contradiction | entity | numeric | relational,"সর্বশেষ বিশ্বকাপ অনুষ্ঠিত হয়েছে রাশিয়ায়, ২০১৮ সালের ১৪ জুন থেকে ১৫ জুলাই পর্যন্ত। এই বিশ্বকাপে ফ্রান্স ক্রোয়েশিয়াকে ফাইনালে ৪-২ গোলে পরাজিত করে শিরোপা জিতে নেয়।",সর্বশেষ ফিফা বিশ্বকাপ আন্তর্জাতিক ফুটবল প্রতিযোগিতা কত সালে অনুষ্ঠিত হয়েছিল ?,২০১৮,,
dev_0285,dev,has_context,history,marked unsure or unreadable,wrong,annotator=unsure/none,contradiction | entity | numeric | relational,পাকিস্তানে প্রথম ক্যাডেট কলেজ প্রতিষ্ঠিত হয় ১৯৫৪ সালে। পাঞ্জাবের অ্যাটক জেলার হাসান আবদালে অবস্থিত এই কলেজটি 'পাঞ্জাব ক্যাডেট কলেজ' (বর্তমানে ক্যাডেট কলেজ হাসান আবদাল) নামে পরিচিত। পরবর্তীতে ১৯৫৮ সালের ২৮ এপ্রিল তৎকালীন পূর্ব পাকিস্তানে (বর্তমান বাংলাদেশে) প্রথম ক্যাডেট কলেজ হিসেবে ফৌজদারহাট ক্যাডেট কলেজ প্রতিষ্ঠিত হয়।,ক্যাডেট কলেজ হাসান আবদাল আসলে কোন প্রদেশ সরকার প্রতিষ্ঠা করে?,পাঞ্জাব সরখার,,
dev_0313,dev,has_context,reading_comprehension,marked unsure or unreadable,wrong,annotator=unsure/none,contradiction | entity | numeric | relational,"অভিষেক বন্দ্যোপাধ্যায় দ্বারা নিম্নলিখিত ব্যক্তিবর্গ উল্লেখিত হতে পারেন: অভিষেক বন্দ্যোপাধ্যায় (জন্ম ১৯৮৭), সর্বভারতীয় তৃণমূল কংগ্রেসের রাজনীতিবিদ অভিষেক বন্দ্যোপাধ্যায় (অভিনেতা) (জন্ম ১৯৮৮), ভারতীয় অভিনেতা এবং কাস্টিং ডিরেক্টর অভিষেক বন্দ্যোপাধ্যায় (ক্রিকেটার) (জন্ম ১৯৮৪), ভারতীয় ক্রিকেটার",অভিষেক বন্দ্যোপাধ্যায় (দ্ব্যর্থতা নিরসন) কবে জন্মগ্রহণ করেন?,১৯৮৭,,
dev_0393,dev,no_context,synonym,marked unsure or unreadable,wrong,annotator=unsure/none,fabricated | overclaim,,“বহি” শব্দের সমার্থক শব্দ কোনটি?,চোখ,,
dev_0403,dev,has_context,history,marked unsure or unreadable,wrong,annotator=unsure/none,contradiction | entity | numeric | relational,আহসান মঞ্জিল পুরান ঢাকার ইসলামপুরের কুমারটুলী এলাকায় বুড়িগঙ্গা নদীর তীরে অবস্থিত। এটি পূর্বে ছিল ঢাকার নবাবদের আবাসিক প্রাসাদ ও জমিদারীর সদর কাচারি। বর্তমানে এটি জাদুঘর হিসাবে ব্যবহৃত হচ্ছে। এর প্রতিষ্ঠাতা নওয়াব আবদুল গনি। তিনি তার পুত্র খাজা আহসানুল্লাহ-র নামানুসারে এর নামকরণ করেন। ১৮৫৯ খ্রিষ্টাব্দে আহসান মঞ্জিলের নির্মাণ কাজ শুরু হয়ে ১৮৭২ খ্রিষ্টাব্দে সমাপ্ত হয়। ১৯০৬ খ্রিষ্টাব্দে এখানে অনুষ্ঠিত এক বৈঠকে মুসলিম লীগ প্রতিষ্ঠার সিদ্ধান্ত হয়।,আহসান মঞ্জিলের প্রতিষ্ঠাতা কে?,নওয়াব আবদুল গনী,,
dev_0476,dev,has_context,reading_comprehension,"human says correct, corpus says wrong",wrong,annotator=correct/none,contradiction | entity | numeric | relational,ডেম সুসান মেরি বেইলি (জন্ম ২৯ আগস্ট ১৯৫০) একজন ব্রিটিশ মনোরোগ বিশেষজ্ঞ এবং শিক্ষাবিদ যিনি শিশু ও কিশোর-কিশোরীদের মানসিক স্বাস্থ্যে বিশেষজ্ঞ। ২০০৪ সাল থেকে তিনি সেন্ট্রাল ল্যাঙ্কাশায়ার বিশ্ববিদ্যালয়ের শিশু মানসিক স্বাস্থ্যের অধ্যাপক। ২০১১ থেকে ২০১৪ সাল পর্যন্ত তিনি রয়্যাল কলেজ অফ সাইকিয়াট্রিস্টস-এর প্রেসিডেন্ট ছিলেন। ২০১৫ সালের জানুয়ারি থেকে তিনি একাডেমি অফ মেডিকেল রয়্যাল কলেজেস-এর চেয়ার হিসেবে দায়িত্ব পালন করছেন।,সুসান বেইলি কবে জন্মগ্রহণ করেন?,২৯ আগস্ট ১৯৫০,,
dev_0490,dev,has_context,history,"human says correct, corpus says wrong",wrong,annotator=correct/none,contradiction | entity | numeric | relational,আলীবর্দী খানের প্রকৃত নাম মির্জা মুহম্মদ আলী । তাঁর পিতার নাম মির্জা মুহম্মদ । তিনি মুঘল দরবার কতৃক খান উপাধি পেয়েছিলেন। আরব বংশোদ্ভূত মির্জা মুহম্মদ বেগ মুঘল সম্রাট আওরঙ্গজেবের তৃতীয় পুত্র আজম শাহের দরবারের একজন কর্মকর্তা ছিলেন[2]। আলীবর্দী খানের মা ইরানের খোরাসানের এক তুর্কি উপজাতি থেকে এসেছিলেন। তাঁর পিতামহ আওরঙ্গজেবের সৎ ভাই ছিলেন। মির্জা মুহম্মদ আলী পূর্ণবয়স্ক হবার পরপরই আজম শাহ তাঁকে পিলখানার পরিচালক হিসেবে নিয়োগ দেন[2]।,নবাব আলীবর্দী খান কোন বংশের সন্তান ছিলেন ?,আরব বংশের সন্তান ছিলেন।,,
dev_0619,dev,has_context,history,marked unsure or unreadable,wrong,annotator=unsure/none,contradiction | entity | numeric | relational,লাফোন্টের উদ্যোগে তাঁকে উচ্চশিক্ষা গ্রহণের জন্য ইংল্যান্ডে পাঠানো হয়। প্রথমে তিনি এক বৎসর চিকিৎসাশাস্ত্রে অধ্যয়ন করেন। কিন্তু স্বাস্থ্যগত কারণে ডাক্তারি পড়া বাদ দিয়ে কেম্ব্রিজ বিশ্ববিদ্যালয়ের ক্রাইস্ট কলেজে ভর্তি হন। প্রায় একই সময়ে ১৮৮৪ সালে তিনি লন্ডন বিশ্ববিদ্যালয় থেকে বি.এসসি ডিগ্রি লাভ করেন। ভারতে প্রত্যাবর্তনের পর জগদীশচন্দ্র বসু কলকাতার প্রেসিডেন্সি কলেজে সহকারী অধ্যাপক পদে নিযুক্ত হন।,ভারতে প্রত্যাবর্তনের পর জগদীশচন্দ্র বসু কোথায় সহকারী অধ্যাপক পদে নিযুক্ত হন?,কলকাতার প্রেসিডেন্সি কলেযে,,
dev_0621,dev,has_context,reading_comprehension,"human says correct, corpus says wrong",wrong,annotator=correct/none,contradiction | entity | numeric | relational,"মোনায়েম সরকার (জন্ম ৩০ মার্চ ১৯৪৫) একজন বাংলাদেশি রাজনীতিবিদ, কলাম লেখক ও গবেষক। ২০১৩ সালে বাংলা একাডেমি তাকে সম্মানসূচক ফেলোশিপ প্রদান করে।",মোনায়েম সরকার কবে জন্মগ্রহণ করেন?,৩০ মার্চ ১৯৪৫,,
