item_id,split,condition,subject,corpus_label,votes,all_humans_disagree_with_corpus,context,question,answer
dev_0065,dev,has_context,history,correct,annotator=wrong/entity,yes,"হোসে মরিনহোর চেলসিতে প্রথম মেয়াদ: ২০০৪ থেকে ২০০৭ সাল পর্যন্ত। এই সময়ে তিনি চেলসিকে ৫০ বছরের মধ্যে প্রথম শীর্ষ লিগ শিরোপা (২০০৪-০৫) এনে দেন। দ্বিতীয় মেয়াদ: ২০১৩ থেকে ২০১৫ সাল পর্যন্ত। চেলসির হয়ে দুই মেয়াদে তিনি তিনটি প্রিমিয়ার লিগ, একটি এফএ কাপ এবং তিনটি লিগ কাপ জয় করেন।",চেলসি ক্লাব কোন দেশের ক্লাব?,ইংল্যান্ড
dev_0108,dev,has_context,reading_comprehension,correct,annotator=wrong/relational,yes,"তুকারাম (১৬০৮-১৬৪৫) ছিলেন একজন বিশিষ্ট সন্ত এবং আধ্যাত্মিক কবি। তাকে গৌরবসূচক সন্ত তুকারাম, ভক্ত তুকারাম, মহারাজ তুকারাম, তুকুবা ও তুকুবারায়া নামেও ডাকা হত। তুকারাম ভারতের মহারাষ্ট্রের পুনের নিকটে দেহু শহরে জন্মগ্রহণ করেন ও তার জীবনের অধিকাংশ সময় অতিবাহিত করেন। তুকারাম তার অভঙ্গ নামক ভক্তিমূলক কবিতা ও কীর্তন গানের জন্য সর্বাধিক পরিচিত।",তুকারাম কবে জন্মগ্রহণ করেন?,তুকারাম ভারতের মহারাষ্ট্রের পুনের নিকটে দেহু শহরে জন্মগ্রহণ করেন ও তার জীবনের অধিকাংশ সময় অতিবাহিত করেন।
dev_0132,dev,has_context,reading_comprehension,correct,annotator=wrong/relational,yes,"জমিদার(দেবনাগরী: ज़मींदार , উর্দু: زمیندار বা জমিদার প্রথা বা জমিদারি বা জমিদারি প্রথা ) ফার্সি যামিন (জমি) ও দাস্তান (ধারণ বা মালিকানা)-এর বাংলা অপভ্রংশের সঙ্গে ‘দার’ সংযোগে ‘জমিদার’ শব্দের উৎপত্তি। মধ্যযুগীয় বাংলার অভিজাত শ্রেণীর ভূম্যধিকারীদের পরিচয়জ্ঞাপক নাম হিসেবে শব্দটি ঐতিহাসিক পরিভাষার অন্তর্ভুক্ত হয়েছে। মুগল আমলে জমিদার বলতে প্রকৃত চাষির ঊর্ধ্বে সকল খাজনা গ্রাহককে বোঝানো হতো। প্রকৃত চাষি জমিদার নয়, কারণ সে কখনও তার জমি খাজনা বা ভাড়ায় অন্য কাউকে প্রদান করে না। জমিদাররা শুধু খাজনা আদায়ের স্বত্বাধিকারী, জমির স্বত্বাধিকারী নয়। পক্ষান্তরে, জমির মালিকদের বলা হতো রায়ত বা চাষি যাদের নামে জমাবন্দি বা রেন্ট-রোল তৈরি হতো। এই ধারণায় জমিদারগণ রাজস্বের চাষি ছিল মাত্র। এরা ছিল সরকার এবং হুজুরি (স্বতন্ত্র) তালুকদার ব্যতীত নিম্নস্তরের রাজস্ব চাষিদের মধ্যস্থ পক্ষ। হুজুরি তালুকদারগণ খালসায় (খাজাঞ্চি খানায়) সরাসরি রাজস্ব প্রদান করত।",জমিদার শব্দের অর্থ কী ?,চাষির ঊর্ধ্বে খাজনা গ্রহণকারী ভূস্বামী।
dev_0145,dev,has_context,reading_comprehension,wrong,annotator=correct/none,yes,"এস্টার বানফি (জন্ম ১৯৫৭) একজন হাঙ্গেরীয় প্রাগৈতিহাসিকবিদ, প্রত্নতাত্ত্বিক এবং শিক্ষাবিদ। ২০১৩ সাল থেকে তিনি জার্মান প্রত্নতাত্ত্বিক ইনস্টিটিউটে রোমানো-জার্মানিক কমিশনের পরিচালক হিসেবে দায়িত্ব পালন করছেন। তিনি হাঙ্গেরীয় একাডেমি অফ সায়েন্সেস-এর প্রত্নতাত্ত্বিক ইনস্টিটিউটের একজন অধ্যাপক।",এস্টার বানফি কবে জন্মগ্রহণ করেন?,১৯৫৭
dev_0151,dev,has_context,history,wrong,annotator=correct/none,yes,"সর্বশেষ বিশ্বকাপ অনুষ্ঠিত হয়েছে রাশিয়ায়, ২০১৮ সালের ১৪ জুন থেকে ১৫ জুলাই পর্যন্ত। এই বিশ্বকাপে ফ্রান্স ক্রোয়েশিয়াকে ফাইনালে ৪-২ গোলে পরাজিত করে শিরোপা জিতে নেয়।",সর্বশেষ ফিফা বিশ্বকাপ আন্তর্জাতিক ফুটবল প্রতিযোগিতা কত সালে অনুষ্ঠিত হয়েছিল ?,২০১৮
dev_0156,dev,has_context,law,correct,annotator=wrong/numeric,yes,ভারতীয় উপমহাদেশে সাংবিধানিক ধারার বিকাশ ঘটে ১৭৭৩ সালের রেগুলেটিং অ্যাক্ট পাসের মধ্য দিয়ে এবং ক্রমান্বয়ে তা পরিবর্তিত হতে থাকে ১৯৩৫ সালের ভারত শাসন আইন পর্যন্ত।,"ভারত শাসন আইন, ১৯৩৫ এ মোট কতটি ধারা ও তফসিল ছিল?",৩২১টি ধারা ও ১০টি তফসিল
dev_0164,dev,no_context,bcs,correct,annotator=wrong/fabricated,yes,,দেশের কোন জেলায় সর্ববৃহৎ সৌরবিদ্যুৎ কেন্দ্র অবস্থিত?,ময়মনসিংহ
dev_0170,dev,has_context,law,correct,annotator=wrong/numeric,yes,"ডিঅক্সিরাইবোনিউক্লিইক এসিড (ডিএনএ) আইন, ২০১৪ হলো ডিএনএ নমুনা সংগ্রহ, ডিএনএ প্রোফাইলিং, ফরেনসিক ডিএনএ ল্যাবরেটরি প্রতিষ্ঠা ও জাতীয় ডিএনএ ডাটাব্যাংক সম্পর্কিত বিধান প্রণয়নকল্পে প্রণীত আইন।","ডিএনএ আইন, ২০১৪ কবে প্রকাশিত হয়?","২২ সেপ্টেম্বর, ২০১৪"
dev_0195,dev,has_context,history,correct,annotator=wrong/numeric,yes,"১৯৩৪ সালে ইংল্যান্ড ক্রিকেট দলের অস্ট্রেলিয়া ও নিউজিল্যান্ড সফরের মাধ্যমে প্রথমবারের মতো মহিলাদের আন্তর্জাতিক ক্রিকেট খেলা শুরু হয়। ২৮-৩১ ডিসেম্বর, ১৯৩৪ তারিখে অনুষ্ঠিত প্রথম টেস্ট খেলায় ইংল্যান্ড দল জয় তুলে নেয়।[2] পরের বছর নিউজিল্যান্ড প্রথম টেস্ট খেলে। ১৯৬০ সালে পর্যন্ত কেবলমাত্র ঐ তিন দেশই মহিলাদের ক্রিকেটে একমাত্র টেস্টভূক্ত দল ছিল। এরপর দক্ষিণ আফ্রিকা ইংল্যান্ডের বিপক্ষে বেশ কয়েকটি খেলায় অংশ নেয়।[2]",প্রথম কত সালে ভারতে আন্তর্জাতিক মহিলা ক্রিকেট ম্যাচ চালু হয় ?,১৯৭৬ সালে
dev_0261,dev,has_context,law,correct,annotator=wrong/numeric,yes,"১৯৭১ সালের ৭ মার্চ জাতির পিতা বঙ্গবন্ধু শেখ মুজিবুর রহমান ঢাকার রেসকোর্স ময়দানে (বর্তমান শহীদ সোহরাওয়ার্দী উদ্যান) ঐতিহাসিক ভাষণ দেন, যা বাঙালি জাতিকে স্বাধীনতা সংগ্রামের পথ দেখিয়েছিল।","সংবিধান (পঞ্চদশ সংশোধন) আইন, ২০১১ এর মাধ্যমে ৭ মার্চের ভাষণ সংবিধানের কোন অনুচ্ছেদের পঞ্চম তফসিলে অন্তর্ভুক্ত করা হয়?",অনুচ্ছেদ ১৫০(২)
dev_0356,dev,has_context,law,correct,annotator=wrong/contradiction,yes,"২০১৮ সালের ৬ সেপ্টেম্বর ভারতের সুপ্রিম কোর্ট সর্বসম্মতভাবে রায় দিয়ে জানায়, সম্মতিসূচক প্রাপ্তবয়স্কদের মধ্যে সমকামিতা অপরাধ নয়, এবং ভারতীয় দণ্ডবিধির ৩৭৭ ধারার সংশ্লিষ্ট অংশ অবৈধ ঘোষণা করে।",২০১৮ সালের রায়ে ৩৭৭ ধারা বাতিলের সিদ্ধান্ত কতজন বিচারপতির সাংবিধানিক বেঞ্চে দেওয়া হয়?,পাঁচজন
dev_0407,dev,has_context,law,correct,annotator=wrong/numeric,yes,"নারীবাদ (Feminism) ১৮৮০ সালে ফ্রান্সে, ১৮৯০ সালে যুক্তরাজ্যে এবং ১৯১০ সালে যুক্তরাষ্ট্রে বিশ্বব্যাপী আন্দোলন হিসেবে প্রচলন লাভ করে।",জাতিসংঘের হিসাব অনুযায়ী নারীরা বিশ্বের মোট সম্পদের কত শতাংশের মালিক?,মাত্র ১ শতাংশ
dev_0412,dev,has_context,law,correct,annotator=wrong/numeric,yes,"২০১৮ সালের ৬ সেপ্টেম্বর ভারতের সুপ্রিম কোর্ট সর্বসম্মতভাবে রায় দিয়ে জানায়, সম্মতিসূচক প্রাপ্তবয়স্কদের মধ্যে সমকামিতা অপরাধ নয়, এবং ভারতীয় দণ্ডবিধির ৩৭৭ ধারার সংশ্লিষ্ট অংশ অবৈধ ঘোষণা করে।",ভারতের সুপ্রিম কোর্ট দিল্লি হাইকোর্টের রায় বাতিল করে ৩৭৭ ধারা পুনর্বহাল করে কোন সালে?,২০১৩ সালে
dev_0459,dev,has_context,law,correct,annotator=wrong/relational,yes,ভারতীয় উপমহাদেশে সাংবিধানিক ধারার বিকাশ ঘটে ১৭৭৩ সালের রেগুলেটিং অ্যাক্ট পাসের মধ্য দিয়ে এবং ক্রমান্বয়ে তা পরিবর্তিত হতে থাকে ১৯৩৫ সালের ভারত শাসন আইন পর্যন্ত।,পাকিস্তানের ১৯৬২ সালের সংবিধানে কোন শাসনব্যবস্থা প্রবর্তিত হয়?,রাষ্ট্রপতিশাসিত শাসনব্যবস্থা
