id,label,difficulty,p_correct,passage,question,answer,sep,top_words
bnp_021302_1,0,easy,0.596,0.673,0.116,0.179,0.033,"? (question, 0.02) | 1971 (passage, 0.02) | খ্রিস্টাব্দে (passage, 0.02) | গঠিত (answer, 0.01) | হয় (answer, 0.01)"
bnp_002355_1,0,easy,0.617,0.758,0.104,0.1,0.037,"করেন (passage, 0.03) | ভগিনী (passage, 0.02) | ? (question, 0.02) | নিবেদিতা (passage, 0.02) | "" (passage, 0.02)"
bnp_000786_1,0,easy,0.416,0.641,0.254,0.061,0.044,"শান্তিনিবাস (answer, 0.06) | হাউজিং (passage, 0.05) | কাকাসান (passage, 0.05) | সড়কের (passage, 0.05) | সোসাইটির (passage, 0.04)"
bnp_024801_1,0,easy,0.571,0.798,0.082,0.099,0.022,"করেন (passage, 0.07) | জন্মগ্রহণ (passage, 0.05) | । (passage, 0.03) | তাঁর (passage, 0.03) | পিতার (passage, 0.02)"
bnp_009116_1,0,easy,0.305,0.967,0.018,0.009,0.005,"পরস্পরের (passage, 0.01) | বিজয়ীর (passage, 0.01) | পাতার (passage, 0.01) | পরিয়ে (passage, 0.01) | রাজ্যগুলির (passage, 0.01)"
bnp_007581_1,0,hard,0.53,0.697,0.158,0.111,0.034,"? (question, 0.02) | কোন (question, 0.02) | কলকাতা (passage, 0.01) | কোন (question, 0.01) | 21 (answer, 0.01)"
bnp_007106_1,0,hard,0.505,0.881,0.081,0.017,0.021,"? (question, 0.01) | করেন (passage, 0.01) | পায় (question, 0.01) | ' (passage, 0.01) | 18 (answer, 0.01)"
bnp_004273_1,0,hard,0.449,0.404,0.445,0.081,0.07,"প্রাণিবিদ্যা (passage, 0.05) | প্রাণিবিদ্যা (question, 0.05) | , (question, 0.05) | অনুযায়ী (question, 0.04) | ব্যাসবাক্য (question, 0.04)"
bnp_025576_1,0,hard,0.38,0.911,0.027,0.052,0.01,"তিনি (passage, 0.01) | তিনি (passage, 0.01) | , (passage, 0.01) | । (passage, 0.01) | পূর্ণিমা (passage, 0.01)"
bnp_002422_1,0,hard,0.565,0.45,0.309,0.18,0.061,"মোহাম্মদ (question, 0.04) | গণবাহিনী (passage, 0.04) | হোসেন (question, 0.03) | বীরপ্রতীক (question, 0.03) | নৌ (passage, 0.03)"
bnp_022799_0,1,easy,0.344,0.741,0.184,0.045,0.031,"হিজরত (passage, 0.03) | অনুসারীরা (passage, 0.03) | ইয়াসরিব (passage, 0.03) | হিজরত (question, 0.03) | এই (passage, 0.03)"
bnp_024801_0,1,easy,0.663,0.832,0.065,0.082,0.021,"করেন (passage, 0.14) | জন্মগ্রহণ (passage, 0.07) | । (passage, 0.05) | তাঁর (passage, 0.04) | পিতার (passage, 0.03)"
bnp_029978_0,1,easy,0.346,0.589,0.258,0.105,0.048,"একজন (passage, 0.04) | ক্লাবেরই (passage, 0.04) | কাট্টলী (passage, 0.04) | যোগেশ (passage, 0.04) | বেয়ারা (passage, 0.04)"
bnp_017982_0,1,easy,0.631,0.647,0.123,0.185,0.044,"করেন (passage, 0.03) | ? (question, 0.03) | থোরিক (passage, 0.02) | ইব্রাহিম (passage, 0.02) | ( (passage, 0.02)"
bnp_001925_0,1,easy,0.639,0.76,0.119,0.078,0.043,"? (question, 0.03) | আবু (passage, 0.02) | বিশর (passage, 0.02) | ইবনে (passage, 0.02) | ইবনে (passage, 0.01)"
bnp_017838_0,1,hard,0.54,0.763,0.12,0.067,0.05,"? (question, 0.03) | শহীদ (passage, 0.03) | হামিদুর (answer, 0.02) | চিত্রশিল্পী (answer, 0.02) | রহমান (answer, 0.02)"
bnp_012908_0,1,hard,0.456,0.428,0.427,0.077,0.068,"চিরসুখী (passage, 0.05) | চিরসুখী (question, 0.05) | , (question, 0.04) | অনুযায়ী (question, 0.04) | ব্যাসবাক্য (question, 0.04)"
bnp_000595_0,1,hard,0.329,0.902,0.044,0.038,0.016,"তিনি (passage, 0.02) | ব্রিটিশ (passage, 0.02) | । (passage, 0.01) | , (passage, 0.01) | ভারতের (passage, 0.01)"
bnp_000459_0,1,hard,0.492,0.435,0.413,0.077,0.075,"সাম্য (passage, 0.05) | বিষয়ক (passage, 0.04) | কর্মধারয় (answer, 0.04) | হলো (passage, 0.04) | কোন (question, 0.04)"
bnp_002057_0,1,hard,0.53,0.928,0.04,0.018,0.014,"? (question, 0.01) | 65 (answer, 0.01) | টি (answer, 0.01) | রাগ (passage, 0.01) | আছে (question, 0.01)"
