item_id,split,record_id,pair_id,subject,condition,difficulty,existing_label,prefilled,blind_check
test_0001,test,bnp_020689_0,bnp_020689,bcs,no_context,easy,1,no,no
test_0002,test,bnp_018573_0,bnp_018573,history,has_context,easy,1,no,no
test_0003,test,bnp_018995_0,bnp_018995,law,has_context,easy,1,no,no
test_0004,test,bnp_024564_1,bnp_024564,reading_comprehension,has_context,easy,0,no,no
test_0005,test,bnp_013341_1,bnp_013341,literature,no_context,easy,0,no,no
test_0006,test,bnp_006857_1,bnp_006857,history,has_context,easy,0,no,no
test_0007,test,bnp_005067_1,bnp_005067,synonym,no_context,easy,0,no,no
test_0008,test,bnp_017104_1,bnp_017104,reading_comprehension,has_context,easy,0,no,no
test_0009,test,bnp_020161_1,bnp_020161,others,has_context,easy,0,no,no
test_0010,test,bnp_027846_1,bnp_027846,idiom_meaning,no_context,easy,0,no,no
test_0011,test,bnp_017007_1,bnp_017007,others,has_context,hard,0,no,no
test_0012,test,bnp_016921_0,bnp_016921,reading_comprehension,has_context,easy,1,no,no
test_0013,test,bnp_005134_0,bnp_005134,grammar,no_context,easy,1,no,no
test_0014,test,bnp_007086_0,bnp_007086,reading_comprehension,has_context,easy,1,no,no
test_0015,test,bnp_027462_0,bnp_027462,law,no_context,hard,1,no,no
test_0016,test,bnp_014315_1,bnp_014315,bcs,no_context,hard,0,no,no
test_0017,test,bnp_003470_1,bnp_003470,grammar,has_context,hard,0,no,no
test_0018,test,bnp_003697_0,bnp_003697,reading_comprehension,has_context,easy,1,no,no
test_0019,test,bnp_011310_0,bnp_011310,reading_comprehension,has_context,hard,1,no,no
test_0020,test,bnp_001233_0,bnp_001233,vocabulary,no_context,easy,1,no,no
test_0021,test,bnp_026266_1,bnp_026266,history,has_context,easy,0,no,no
test_0022,test,bnp_024204_1,bnp_024204,grammar,no_context,hard,0,no,no
test_0023,test,bnp_014730_0,bnp_014730,law,no_context,hard,1,no,no
test_0024,test,bnp_002420_1,bnp_002420,idiom_meaning,no_context,easy,0,no,no
test_0025,test,bnp_030207_1,bnp_030207,history,has_context,hard,0,no,no
test_0026,test,bnp_000537_1,bnp_000537,idiom_meaning,no_context,easy,0,no,no
test_0027,test,bnp_014917_1,bnp_014917,antonym,no_context,easy,0,no,no
test_0028,test,bnp_009760_0,bnp_009760,history,has_context,hard,1,no,no
test_0029,test,bnp_031770_0,bnp_031770,reading_comprehension,has_context,hard,1,no,no
test_0030,test,bnp_024592_1,bnp_024592,history,has_context,hard,0,no,no
test_0031,test,bnp_004272_0,bnp_004272,reading_comprehension,has_context,easy,1,no,no
test_0032,test,bnp_028303_1,bnp_028303,law,has_context,hard,0,no,no
test_0033,test,bnp_017710_1,bnp_017710,reading_comprehension,has_context,easy,0,no,no
test_0034,test,bnp_023371_0,bnp_023371,history,no_context,hard,1,no,no
test_0035,test,bnp_004733_0,bnp_004733,antonym,no_context,easy,1,no,no
test_0036,test,bnp_015200_0,bnp_015200,history,has_context,easy,1,no,no
test_0037,test,bnp_002452_0,bnp_002452,science,no_context,hard,1,no,no
test_0038,test,bnp_012316_1,bnp_012316,bcs,no_context,easy,0,no,no
test_0039,test,bnp_025869_0,bnp_025869,mathematics,no_context,easy,1,no,no
test_0040,test,bnp_021259_1,bnp_021259,history,has_context,hard,0,no,no
test_0041,test,bnp_005598_0,bnp_005598,grammar,no_context,easy,1,no,no
test_0042,test,bnp_011859_0,bnp_011859,bcs,no_context,easy,1,no,no
test_0043,test,bnp_023594_0,bnp_023594,reading_comprehension,has_context,easy,1,no,no
test_0044,test,bnp_018589_1,bnp_018589,literature,no_context,easy,0,no,no
test_0045,test,bnp_022080_1,bnp_022080,reading_comprehension,has_context,easy,0,no,no
test_0046,test,bnp_011183_1,bnp_011183,reading_comprehension,has_context,easy,0,no,no
test_0047,test,bnp_019825_0,bnp_019825,grammar,has_context,hard,1,no,no
test_0048,test,bnp_014371_1,bnp_014371,history,has_context,easy,0,no,no
test_0049,test,bnp_028014_0,bnp_028014,law,has_context,easy,1,no,no
test_0050,test,bnp_031459_0,bnp_031459,reading_comprehension,has_context,hard,1,no,no
test_0051,test,bnp_004537_1,bnp_004537,history,has_context,easy,0,no,no
test_0052,test,bnp_013666_1,bnp_013666,science,no_context,easy,0,no,no
