item_id,condition,context,question,answer,your_label,your_type,your_difficulty,your_notes
train_1001,no_context,,কবি জৈনুদ্দিনের বিখ্যাত কাব্যগ্রন্থের নাম কী?,রসুল বিজয়,correct,none,easy,
train_1002,has_context,"১৯৭১ সালে অপারেশন সার্চলাইটের এইচ আওয়ার নির্ধারিত হয়েছিল ২৬ মার্চ রাত ১টা। ক্যান্টনমেন্ট থেকে সেনাবাহিনী প্রথম প্রতিরোধের সম্মুখীন হয় ফার্মগেটে। সবচেয়ে নারকীয় ঘটনা ঘটে জগন্নাথ হলে, সেই রাতে ৩৪ জন ছাত্র শুধু সেই হলেই নিহত হয়। হানাদার বাহিনী হত্যা করে মধুর ক্যান্টিন খ্যাত মধুসূদন দে'কেও (মধুদা)। আফতাব আহমদ সিদ্দিকী জানান যে এই ভবনেই ১৯০৬ সালে মুসলিম লীগ প্রতিষ্ঠিত হয়েছিল। ১০ নভেম্বর সশস্ত্র সৈন্যরা রোকেয়া হলে প্রবেশ করে ত্রিশজন ছাত্রীর উপর নির্যাতন করে।",অপারেশন সার্চলাইটের এইচ আওয়ার কখন নির্ধারিত হয়েছিল?,২৯ মার্চ রাত ১টা,wrong,numeric,hard,
train_1003,no_context,,একটি হ্রদে ৮০০ শেওলা গাছ ছিল। এখন ৩০০ শেওলা গাছ রয়েছে। হৃদটিতে এখন আরও কত শেওলা গাছ রয়েছে?,500,correct,none,hard,
train_1004,no_context,,এডিসন কত সালে তার আবিষ্কৃত যন্ত্রটি পেটেন্ট করেন?,১৮৮৪ সালে,correct,none,hard,
train_1005,no_context,,একটি বই ৯৮ পৃষ্ঠা। পৃষ্ঠার অর্ধেক ছবি দিয়ে পূর্ণ এবং ১১টি গল্প দিয়ে। বাকি পৃষ্ঠাগুলির মধ্যে অর্ধেকটি ফাঁকা এবং বাকি অর্ধেকটি লেখায় ভরা। লেখা সহ কত পৃষ্ঠা আছে?,১৯,correct,none,easy,
train_1006,no_context,,"""থাবা দেওয়া"" এর ভাবার্থ কী?","থাবা মারা। ছিনিয়ে নেওয়া, ছোঁ মারা",,,,
train_1007,has_context,"জানুয়ারি, ১৯৯২ সালে অ্যাডিলেডে অস্ট্রেলিয়া ও ভারতের মধ্যকার খেলা পরিচালনার মাধ্যমে আম্পায়ার হিসেবে অভিষেক ঘটে তাঁর। আইসিসি নীতিমালা অনুযায়ী ২০০২ সাল থেকে হেয়ারকে অস্ট্রেলিয়ার বাইরে টেস্ট খেলা পরিচালনা করতে হয়েছে ও অস্ট্রেলিয়ার কোন টেস্টে খেলা পরিচালনা করেননি। ২৬ থেকে ২৯ ডিসেম্বর, ২০০১ তারিখে মেলবোর্নে অস্ট্রেলিয়ার প্রতিপক্ষ দক্ষিণ আফ্রিকার মধ্যকার খেলাটি সর্বশেষবারের মতো নিজ দেশে টেস্ট পরিচালনা করেছিলেন। ওয়েস্ট ইন্ডিয়ান আম্পায়ার এডি নিকোলসকে সাথে নিয়ে খেলাটি পরিচালনা করেছিলেন।",ড্যারেল ব্রুস হেয়ার কোন সাল থেকে প্রথম আম্পায়ারিং করা শুরু করেন ?,১৯৯১ সালে অ্যাডিলেডে প্রথম আম্পায়ারিং শুরু করেন।,wrong,numeric,easy,
train_1008,has_context,নাইজেল মার্টিন ইভান্স (জন্ম ১০ নভেম্বর ১৯৫৭) একজন ব্রিটিশ কনজারভেটিভ পার্টির রাজনীতিবিদ যিনি ১৯৯২ সাল থেকে ল্যাঙ্কাশায়ারের রিবল ভ্যালির সংসদ সদস্য (এমপি) হিসেবে দায়িত্ব পালন করছেন। তিনি ২০১৭ থেকে ২০১৯ সাল পর্যন্ত ১৯২২ কমিটির যুগ্ম নির্বাহী সম্পাদক ছিলেন। তিনি ২০১০ থেকে ২০১৩ সাল পর্যন্ত স্পিকারের তিনজন ডেপুটিদের মধ্যে অন্যতম ওয়েস অ্যান্ড মিনসের প্রথম ডেপুটি চেয়ারম্যান হিসেবে দায়িত্ব পালন করেন। তিনি ২০২০ সালে ওয়েজ অ্যান্ড মিনসের দ্বিতীয় ডেপুটি চেয়ারম্যান নির্বাচিত হন। ইভান্স ইউরোপীয় ইউনিয়নের একজন শক্তিশালী সমালোচক এবং ২০১৬ সালের ইইউ গণভোটে ব্রেক্সিটকে সমর্থন করেছিলেন। তিনি তখন থেকে Le,নাইজেল ইভান্স কবে জন্মগ্রহণ করেন?,নাইজেল মার্টিন ইভান্স (জন্ম ১০ নভেম্বর ১৯৫৭) একজন ব্রিটিশ কনজারভেটিভ পার্টির রাজনীতিবিদ যিনি ১৯৯২ সাল থেকে ল্যাঙ্কাশায়ারের রিবল ভ্যালির সংসদ সদস্য (এমপি) হিসেবে দায়িত্ব পালন করছেন।,correct,none,easy,
train_1009,has_context,"১৯৪৭ সালের জায়নিস্ট-হাশেমী গোপন আলোচনা নিউ হিস্টোরিয়ান আভি শ্লাইম তার বই Collusion Across The Jordan: King Abdullah, the Zionist Movement, and the Partition of Palestine এ উল্লেখ করেন।",১৯৪৭ সালের জায়নিস্ট-হাশেমী গোপন আলোচনা কোন ইতিহাসবিদ তার বইয়ে উল্লেখ করেন?,আভি শ্লাইম,correct,none,easy,
train_1010,has_context,"১৯৩৫ সালে রবীন্দ্রনাথ তাঁর ‘অণিমা’ নামটি পরিবর্তন করে ‘কণিকা’ রাখেন। অবশ্য ডাকনাম হিসাবে তিনি ব্যবহার করতেন ‘মোহর’। পরে অবনীন্দ্রনাথ ঠাকুর তাঁর এই ‘মোহর’ নামটি বিস্তারিত করে বলেছিলেন ‘আকবরী মোহর’। ১৯৩৫ সালেই শিশুশিল্পী হিসাবে প্রথম মঞ্চাবতরণ করেন কণিকা। শান্তিনিকেতনের শারদোৎসবে একটি অনুষ্ঠানে বালক-বালিকাদের দলে অংশ নিয়েছিলেন তিনি। জানা যায়, রবীন্দ্রনাথের সঙ্গে তাঁর সেই প্রথম ও শেষ মঞ্চাবতরণ; কারণ সেই অনুষ্ঠানটিই ছিল রবীন্দ্রনাথের শেষ মঞ্চাভিনয়। ২৪ জুলাই ১৯৪০ বোলপুর টেলিফোন কেন্দ্রের উদ্বোধনী অনুষ্ঠানে তিনি ওগো তুমি পঞ্চদশী গানটি গেয়েছিলেন। গানটি তিনি সরাসরি রবীন্দ্রনাথের কাছেই শেখেন। এই অনুষ্ঠানটি বেতারে সম্প্রচারিত হয়। এটিই কণিকার প্রথম বেতার অনুষ্ঠান। এরপর ১৯৩৭ সালে প্রথম কলকাতার ছায়া সিনেমা হলে আয়োজিত বর্ষামঙ্গল উৎসবে কণিকা রবীন্দ্রনাথের সঙ্গে দ্বৈতকণ্ঠে ছায়া ঘনাইছে বনে বনে গানটি গেয়েছিলেন। কলকাতার মঞ্চে রবীন্দ্রসঙ্গীত শিল্পীরূপে সেটিই ছিল তাঁর প্রথম আত্মপ্রকাশ। এই সময়ে অনেকগুলি গান রবীন্দ্রনাথ তাঁকে স্বয়ং শিখিয়েছিলেন। কণিকা অভিনয় করেছিলেন তাসের দেশ নাটকের দহলানী, ডাকঘর নাটকের সুধা, বিসর্জন নাটকের অপর্ণা ও বশীকরণ নাটকের নিরুপমা চরিত্রে।",প্রদত্ত অনুচ্ছেদে “২৪ জুলাই ১৯৪০ বোলপুর টেলিফোন” সম্পর্কে মূল বক্তব্যটি কী?,২৫ জুলাই ১৯৪০ বোলপুর টেলিফোন কেন্দ্রের উদ্বোধনী অনুষ্ঠানে তিনি ওগো তুমি পঞ্চদশী গানটি গেয়েছিলেন।,wrong,numeric,hard,
