item_id,condition,context,question,answer,your_label,your_type,your_difficulty,your_notes
train_0501,has_context,আলেকজান্ডার কানিংহাম ১৮৭৯ সালে পাহাড়পুরের প্রত্নস্থলটি পরিদর্শন ও শনাক্ত করেন। ১৯৮৫ সালে ইউনেস্কো সোমপুর মহাবিহারকে বিশ্ব ঐতিহ্য হিসেবে স্বীকৃতি দেয়।,পাহাড়পুর বৌদ্ধ বিহার ইউনেস্কোর বিশ্ব ঐতিহ্যের স্বীকৃতি পায় কত সালে?,১৯৮৪ সালে।,wrong,numeric,hard,
train_0502,has_context,"মার্টিন প্যাটারসন ডনেলি (English: Martin Donnelly; জন্ম: ১৭ অক্টোবর, ১৯১৭ - মৃত্যু: ২২ অক্টোবর, ১৯৯৯) নরুয়াগিয়ায় জন্মগ্রহণকারী বিখ্যাত নিউজিল্যান্ডীয় আন্তর্জাতিক ক্রিকেট তারকা ও রাগবি ইউনিয়নের খেলোয়াড় ছিলেন। নিউজিল্যান্ড ক্রিকেট দলের অন্যতম সদস্য ছিলেন তিনি। ১৯৩৭ থেকে ১৯৪৯ সময়কালে নিউজিল্যান্ডের পক্ষে আন্তর্জাতিক ক্রিকেটে অংশগ্রহণ করেছিলেন। ঘরোয়া প্রথম-শ্রেণীর নিউজিল্যান্ডীয় ক্রিকেটে ওয়েলিংটন ও ক্যান্টারবারি দলের প্রতিনিধিত্ব করেছেন। ইংরেজ কাউন্টি ক্রিকেটে ওয়ারউইকশায়ার, মিডলসেক্স, মেরিলেবোন ও অক্সফোর্ড বিশ্ববিদ্যালয়ের পক্ষে খেলেছেন। দলে তিনি মূলতঃ বামহাতি ব্যাটসম্যান হিসেবে খেলতেন। এছাড়াও, স্লো লেফট-আর্ম অর্থোডক্স বোলিংয়ে পারদর্শীতা দেখিয়েছেন ‘স্কুইব’ ডাকনামে পরিচিত মার্টিন ডনেলি।",নিউজিল্যান্ডীয় আন্তর্জাতিক ক্রিকেট তারকা মার্টিন প্যাটারসন ডনেলির ডাকনাম কি ছিল ?,স্কিপার,wrong,entity,easy,
train_0503,no_context,,"""কেতাদুরস্ত"" এর ভাবার্থ কী?",উৎকট বা উগ্র রঙ,wrong,fabricated,easy,
train_0504,has_context,প্রথম টেস্টে অস্ট্রেলিয়ার প্রথম ইনিংসে উইকেটরক্ষক হিল্ডা হিলস নাক ভেঙে ২ রানে আহত হয়ে মাঠ ছাড়েন। এরপর হিলস আর ম্যাচে অংশ নেননি এবং তার পরিবর্তে হ্যাজেল প্রিচার্ড উইকেটরক্ষকের দায়িত্ব নেন। ম্যাকল্যাগান ৭২ রান করার পর পঞ্চম নারী ব্যাটসম্যান হিসেবে আউট হন।,প্রথম টেস্টে ইংল্যান্ড কত ওভারে অস্ট্রেলিয়াকে অলআউট করে?,"নির্দিষ্ট ওভার উল্লেখ নেই, তবে ৪৭ রানে অলআউট হয়",unsure,none,hard,"asked overs, answers give runs/omission instead"
train_0505,has_context,"আইএলও-এর কিছু গুরুত্বপূর্ণ তথ্য: প্রতিষ্ঠা ১৯১৯ সালের ১১ এপ্রিল। সদর দপ্তর জেনেভা, সুইজারল্যান্ড। ত্রিপক্ষীয় কাঠামো: এটি জাতিসংঘের একমাত্র ত্রিপক্ষীয় সংস্থা, যেখানে সরকার, নিয়োগকর্তা বা মালিক, এবং শ্রমিক—এই তিন পক্ষের সমান অংশগ্রহণ থাকে। জাতিসংঘের স্বীকৃতি: ১৯৪৬ সালে এটি জাতিসংঘের প্রথম বিশেষায়িত সংস্থা হিসেবে আনুষ্ঠানিক স্বীকৃতি লাভ করে। নোবেল পুরস্কার: ১৯৬৯ সালে সংস্থাটি নোবেল শান্তি পুরস্কারে ভূষিত হয়।",আইএলও কবে নোবেল শান্তি পুরস্কারে ভূষিত হয়?,১৯৬৯ সালে,correct,none,hard,
train_0506,has_context,'মহাত্মা' শব্দটির ব্যাসবাক্য হলো: মহৎ আত্মা যার।,"ব্যাসবাক্য অনুযায়ী, 'মহাত্মা' শব্দটি কোন সমাসের উদাহরণ?",কর্মধারয়,wrong,contradiction,easy,
train_0507,no_context,,তারাশঙ্কর বন্দ্যোপাধ্যায়ের 'কবি' গ্রন্থে কোন বিষয়টি প্রাধান্য পেয়েছে?,ডোম সম্প্রদায়ের জীবন কাহিনী,correct,none,easy,
train_0508,no_context,,'Glossary' শব্দের বাংলা পরিভাষা-,শব্দার্থপঞ্জি,correct,none,easy,
train_0509,has_context,যতদিন বাংলাদেশের স্বাধীনতা যুদ্ধ চলেছে ততদিন মুজিবনগর সরকার পরিচালনার অন্তর্বর্তীকালীন সংবিধান বা ক্রান্তিকালীন বিধান হিসেবে এই ঘোষণাপত্র কার্যকর ছিল। ১৯৭১ সালের ১৬ ডিসেম্বর স্বাধীন বাংলাদেশ শত্রুমুক্ত হওয়ার পরও এই ঘোষণাপত্র নবপ্রতিষ্ঠ দেশের সংবিধান হিসেবে কার্যকর ছিল।,কোন তারিখে স্বাধীন বাংলাদেশ শত্রুমুক্ত হয়?,২১ ফেব্রুয়ারি ১৯৭২,wrong,numeric,easy,
train_0510,no_context,,“লোকান্তর গমন” শব্দের সমার্থক শব্দ কোনটি?,হিমকর,wrong,fabricated,easy,
