pair_id,condition,subject,confidence,bn_context,banglish_context,bn_question,banglish_question,bn_correct_answer,banglish_correct_answer,bn_wrong_answer,banglish_wrong_answer,hallucination_type_guess,source_original_pair_id,reviewer_status,reviewer_notes
pilot_000000,has_context,law,low,১৭৭৪ সালের সনদে কলকাতায় সুপ্রিম কোর্ট অব জুডিকেচার প্রতিষ্ঠিত হয়।,1774 shaler sonode kolokatayo suprimo korto obo judikecharo protishthito hoi.,প্রদত্ত প্রসঙ্গ অনুযায়ী বাংলাদেশের বিচারব্যবস্থার ঐতিহাসিক বিকাশ সম্পর্কে কী বলা হয়েছে?,prodotto prosongo anujayi bangladesher bicharobjobostharo oitihasiko bikasho somporke kii bola hoise?,১৭৭৪ সালের সনদে কলকাতায় সুপ্রিম কোর্ট অব জুডিকেচার প্রতিষ্ঠিত হয়।,1774 shaler sonode kolokatayo suprimo korto obo judikecharo protishthito hoi.,১৭৭৫ সালের সনদে কলকাতায় সুপ্রিম কোর্ট অব জুডিকেচার প্রতিষ্ঠিত হয়।,1775 shaler sonode kolokatayo suprimo korto obo judikecharo protishthito hoi.,numeric,bnp_000021,,
pilot_000001,has_context,law,low,"ধারা ৩০ অনুযায়ী, পরিষদ গঠন বা প্রশাসক নিয়োগের পর পূর্ববর্তী দায়িত্বশীল ব্যক্তি পরিষদের নগদ অর্থ, পরিসম্পদ, দলিল, রেজিস্টার ও সিলমোহর নতুন দায়িত্বপ্রাপ্ত ব্যক্তির কাছে হস্তান্তর করবেন।","dhara 30 onujayi, porishodo gothono ba proshasoko niyogero poro purboborti dayitboshilo bjokti porishodero nogodo ortho, porisompodo, dolilo, rejistaro o silomohoro notuno dayitboprapto bjoktiro kase hostantoro korobeno.","প্রদত্ত প্রসঙ্গ অনুযায়ী স্থানীয় সরকার (ইউনিয়ন পরিষদ) আইন, ২০০৯-এর ধারা ৩০ সম্পর্কে কী বলা হয়েছে?","prodotto prosongo anujayi sthaniyo sorkar (iuniyono porishodo) ain, 2009-er dhara 30 somporke kii bola hoyeche?","ধারা ৩০ অনুযায়ী, পরিষদ গঠন বা প্রশাসক নিয়োগের পর পূর্ববর্তী দায়িত্বশীল ব্যক্তি পরিষদের নগদ অর্থ, পরিসম্পদ, দলিল, রেজিস্টার ও সিলমোহর নতুন দায়িত্বপ্রাপ্ত ব্যক্তির কাছে হস্তান্তর করবেন।","dhara 30 anujayi, porishodo gothono ba proshasoko niyogero poro purboborti dayitboshilo bjokti porishodero nogodo orth, porisompodo, dolilo, rejistaro o silomohoro notuno dayitboprapto bjoktiro kase hostantoro korobeno.","ধারা ৩১ অনুযায়ী, পরিষদ গঠন বা প্রশাসক নিয়োগের পর পূর্ববর্তী দায়িত্বশীল ব্যক্তি পরিষদের নগদ অর্থ, পরিসম্পদ, দলিল, রেজিস্টার ও সিলমোহর নতুন দায়িত্বপ্রাপ্ত ব্যক্তির কাছে হস্তান্তর করবেন।","dhara 31 onujayi, porishodo gothono ba proshasoko niyogero poro purboborti dayitboshilo bjokti porishodero nogodo orth, porisompodo, dolilo, rejistaro o silomohoro notuno dayitboprapto bjoktiro kase hostantoro korobeno.",numeric,bnp_000070,,
pilot_000002,has_context,reading_comprehension,low,নৌবাহিনী প্রধান বাংলাদেশ নৌবাহিনীর অধিনায়ক এবং সর্বোচ্চ পদধারী কর্মকর্তা। এই পদকে সংক্ষেপে সিএনএস ও বলা হয়। বর্তমানে বাংলাদেশ নৌবাহিনীর প্রধান হন চার তারকা অ্যাডমিরাল পদমর্যাদার একজন কর্মকর্তা। নৌবাহিনীর বর্তমান প্রধান হচ্ছেন অ্যাডমিরাল নিজামউদ্দিন আহমেদ যিনি ২৭ জানুয়ারি ২০১৬ দায়িত্ব গ্রহণ করেন।[1][2],noubahini prodhano bangladesh noubahiniro odhinayoko ebng sorbochcho pododhari kormokorta. ei podoke songkshepe sienoeso o bola hoi. bortomane bangladesh noubahiniro prodhano hono charo taroka ojadomiralo podomorjadaro ekojono kormokorta. noubahiniro bortomano prodhano hochchheno ojadomiralo nijamouddino ahomedo jini 27 januyari 2016 dayitbo grohono koren.[1][2],বাংলাদেশ নৌবাহিনীর বর্তমান (২০১৮) নৌসেনা প্রধানের নাম কী ?,bangladesh noubahiniro bortomano (2018) nousena prodhanero naam kii ?,নিজামউদ্দিন আহমেদ,nijamouddino ahomedo,অ্যাডমিরাল আহমেদ,ojadomiralo ahomedo,relational,bnp_000083,,
pilot_000003,no_context,mathematics,low,,,কোন মাসে 30 দিন থাকলে ওই মাসে কোন একটি বার সর্বোচ্চ কতবার আসতে পারে?,kon mase 30 dine thakole oi mase kon ekti baro sorbochcho kotobaro asote pare?,5,5,7,7,fabricated,bnp_000098,,
pilot_000004,no_context,grammar,low,,,কোনটি উপসর্গ?,konta uposorgo?,অতি,oti,গমন,gomono,fabricated,bnp_000147,,
pilot_000005,has_context,history,low,"১৯৯৬ সালের ২২ মার্চ সেগুনবাগিচার একটি সাবেকী ভবন ভাড়া নিয়ে যথাযথ সংস্কার শেষে দ্বার উদ্‌ঘাটন হয় মুক্তিযুদ্ধ জাদুঘরের। আটজন ট্রাস্টির উদ্যোগে ইতিহাসের স্মারক সংগ্রহ, সংরক্ষণ ও উপস্থাপনের এই প্রয়াস গোড়া থেকেই ব্যাপক মানুষের সমর্থন ও সহায়তায় ধন্য হয়েছে। বর্তমানে জাদুঘরের সংগ্রহভাণ্ডারে জমা হয়েছে ১৫,০০০-এরও বেশি স্মারক।","1996 shaler 22 marcho segunobagicharo ekta sabeki bhobono bhara niye jothajotho songskaro sheshe dbaro ud‌ghatono hoi muktijuddho jadughorero. atojono trastiro udjoge itihasero smaroko songgroho, songrokshono o uposthaponero ei proyaso gora thekei bjapoko manushero somorthono o sohayotayo dhonjo hoise. bortomane jadughorero songgrohobhandare joma hoise 15,000-eroo beshi smaroko.",মুক্তিযুদ্ধ জাদুঘর প্রথমে কোথায় ভাড়া বাড়িতে চালু হয়?,muktizuddho jadughoro prothome kothay bhara barite chalu hoi?,সেগুনবাগিচার একটি সাবেকী ভবনে,segunobagicharo ekta sabeki bhobone,সেগুনবাগিচার একটি সাবেকী ভবণে,segunobagicharo ekta sabeki bhobone,relational,bnp_000148,,
pilot_000006,has_context,reading_comprehension,low,"রোনালদো পর্তুগাল জাতীয় দলের হয়ে খেলেন, যাদের হয়ে ২০০৩ সালের আগস্ট মাসে কাজাকিস্তানের বিরুদ্ধে তার অভিষেক ঘটে। তিনি জাতীয় দলের হয়ে ১০০ এর অধিক ম্যাচ খেলেছেন এবং তিনি পর্তুগালের হয়ে সর্বোচ্চ গোলের অধিকারী। তিনি পর্তুগালের হয়ে প্রধান ৫টি টুর্নামেন্ট; ২০০৪ উয়েফা ইউরো, ২০০৬ ফিফা বিশ্বকাপ, ২০০৮ উয়েফা ইউরো, ২০১০ ফিফা বিশ্বকাপ এবং ২০১২ উয়েফা ইউরোতে অংশগ্রহণ করেছেন। ২০০৪ সালের উয়েফা ইউরোর প্রথম খেলায়, গ্রিসের বিরুদ্ধে তিনি তার প্রথম আন্তর্জাতিক গোল করেন। ২০০৮ সালের জুলাই মাসে পর্তুগালের অধিনায়ক হন এবং ২০১২ সালের উয়েফা ইউরোতে অধিনায়ক হিসেবে দলকে সেমি-ফাইনালে নিয়ে যান এবং প্রতিযোগিতায় সর্বোচ্চ গোল করেন।","ronalodo portugalo jatiyo dolero hoye kheleno, jadero hoye 2003 saler agosto mase kajakistanero biruddhe tar obhisheko ghote. tini jatiyo dolero hoye 100 er odhiko mjacho khelechheno ebng tini portugalero hoye sorbochcho golero odhikari. tini portugalero hoye prodhano 5ti turnamento; 2004 uyefa iuro, 2006 fifa bishbokapo, 2008 uyefa iuro, 2010 fifa bishbokapo ebong 2012 uyefa iurote ongshogrohono korechheno. 2004 shaler uyefa iuroro prthom khelayo, grisero biruddhe tini tar prthom antorjatiko golo korn. 2008 shaler julai mase portugalero odhinayoko hono ebng 2012 shaler uyefa iurote odhinayoko hisebe doloke semi-fainale niye jano ebng protijogitayo sorbochcho golo korn.",ক্রিস্তিয়ানো রোনালদো কোন সাল থেকে পর্তুগাল জাতীয় দলের হয়ে খেলা শুরু করেন ?,kristiyano ronalodo kon shal theke portugalo jatio dolero hoye khela shuru koren ?,২০০৩ সালের আগস্ট মাসে,2003 shaler agosto mase,২০০৪ সালের আগস্ট মাসে,2004 saler agosto mase,numeric,bnp_000159,,
pilot_000007,no_context,science,low,,,ক্যান্সার চিকিৎসার কোন পদ্ধতিতে তেজস্ক্রিয় রশ্মি প্রয়োগ করা হয়?,kjansaro chikitosaro kon poddhotite tejoskriyo roshmi proyogo kora hoi?,রেডিওথেরাপি,rediotherapi,ক্লোরোফিল,klorofilo,fabricated,bnp_000167,,
pilot_000008,has_context,reading_comprehension,low,"দেশের প্রথম প্রধানমন্ত্রী ছিলেন ভারতের অন্তর্বর্তীকালীন সরকারের অর্থমন্ত্রী লিয়াকত আলি খান । এযাবৎ কোনো প্রধানমন্ত্রী তার কার্যকাল সম্পূর্ণ করতে পারেনি। দীর্ঘ মেয়াদি প্রধানমন্ত্রীরা হলেন বেনজীর ভুট্টো , নওয়াজ শরীফ ও ইউসুফ রেজা গিলানি।","deshero prthom prodhanmntri chhileno bharoter ontorbortikalino sorokarero orthomontri liyakoto ali khano . ejaboto kono prodhanmontri tar karjokalo sompurno korte pareni. dirgho meyadi prodhanomontrira holeno benojiro bhutto , nooyajo shorifo o iusufo reja gilani.",স্বাধীন পাকিস্তানের প্রথম প্রধানমন্ত্রী কে ?,sbadhino pakistanero prothom prodhanmontri ke ?,লিয়াকত আলি খান,liyakoto ali khano,মেয়াদি আলি খান,meyadi ali khano,relational,bnp_000480,,
pilot_000009,no_context,idiom_meaning,low,,,"""গুড়ে বালি"" এর ভাবার্থ কী?","""gure bali"" er bhabartho kii?",আশায় নৈরাশ্য,ashayo noirashjo,নিজ দেশে গুণীর কদর নেই,nijo deshe guniro kodoro nei,fabricated,bnp_000560,,
